model,domain,perturbation,label,scoring_method,claim_count
qwen3_vl_4b,chart,jpeg_compression,unsupported,rule_based,19
qwen3_vl_4b,ocr_doc,blur_downscale,supported,evidence_field,1
qwen3_vl_4b,ocr_doc,blur_downscale,supported,rule_based,12
qwen3_vl_4b,ocr_doc,blur_downscale,unsupported,fallback_no_llm,9
qwen3_vl_4b,ocr_doc,blur_downscale,unsupported,rule_based,19
qwen3_vl_4b,ocr_doc,clean,supported,rule_based,36
qwen3_vl_4b,ocr_doc,clean,unsupported,fallback_no_llm,3
qwen3_vl_4b,ocr_doc,clean,unsupported,rule_based,1
qwen3_vl_4b,ocr_doc,crop_removal,supported,rule_based,25
qwen3_vl_4b,ocr_doc,crop_removal,unsupported,fallback_no_llm,10
qwen3_vl_4b,ocr_doc,crop_removal,unsupported,rule_based,6
qwen3_vl_4b,ocr_doc,distractor_text,supported,rule_based,31
qwen3_vl_4b,ocr_doc,distractor_text,unsupported,fallback_no_llm,3
qwen3_vl_4b,ocr_doc,distractor_text,unsupported,rule_based,6
qwen3_vl_4b,ocr_doc,jpeg_compression,unsupported,fallback_no_llm,32
qwen3_vl_4b,ocr_doc,jpeg_compression,unsupported,rule_based,8
qwen3_vl_4b,scientific_figure,blur_downscale,unsupported,fallback_no_llm,14
qwen3_vl_4b,scientific_figure,blur_downscale,unsupported,rule_based,26
qwen3_vl_4b,scientific_figure,clean,supported,rule_based,40
qwen3_vl_4b,scientific_figure,crop_removal,supported,rule_based,33
qwen3_vl_4b,scientific_figure,crop_removal,unsupported,fallback_no_llm,4
qwen3_vl_4b,scientific_figure,crop_removal,unsupported,rule_based,3
qwen3_vl_4b,scientific_figure,distractor_text,supported,rule_based,40
qwen3_vl_4b,scientific_figure,jpeg_compression,unsupported,fallback_no_llm,21
qwen3_vl_4b,scientific_figure,jpeg_compression,unsupported,rule_based,19
qwen3_vl_8b,chart,blur_downscale,supported,rule_based,12
qwen3_vl_8b,chart,blur_downscale,unsupported,fallback_no_llm,5
qwen3_vl_8b,chart,blur_downscale,unsupported,rule_based,23
qwen3_vl_8b,chart,clean,supported,rule_based,40
qwen3_vl_8b,chart,crop_removal,supported,rule_based,34
qwen3_vl_8b,chart,crop_removal,unsupported,rule_based,6
qwen3_vl_8b,chart,distractor_text,supported,rule_based,38
qwen3_vl_8b,chart,distractor_text,unsupported,rule_based,2
qwen3_vl_8b,chart,jpeg_compression,supported,rule_based,2
qwen3_vl_8b,chart,jpeg_compression,unsupported,fallback_no_llm,21
qwen3_vl_8b,chart,jpeg_compression,unsupported,rule_based,17
qwen3_vl_8b,ocr_doc,blur_downscale,supported,rule_based,9
qwen3_vl_8b,ocr_doc,blur_downscale,unsupported,fallback_no_llm,7
qwen3_vl_8b,ocr_doc,blur_downscale,unsupported,rule_based,24
qwen3_vl_8b,ocr_doc,clean,supported,rule_based,40
qwen3_vl_8b,ocr_doc,crop_removal,supported,rule_based,26
qwen3_vl_8b,ocr_doc,crop_removal,unsupported,fallback_no_llm,5
qwen3_vl_8b,ocr_doc,crop_removal,unsupported,rule_based,9
qwen3_vl_8b,ocr_doc,distractor_text,supported,rule_based,36
qwen3_vl_8b,ocr_doc,distractor_text,unsupported,rule_based,4
qwen3_vl_8b,ocr_doc,jpeg_compression,unsupported,fallback_no_llm,29
qwen3_vl_8b,ocr_doc,jpeg_compression,unsupported,rule_based,11
qwen3_vl_8b,scientific_figure,blur_downscale,supported,rule_based,4
qwen3_vl_8b,scientific_figure,blur_downscale,unsupported,fallback_no_llm,14
qwen3_vl_8b,scientific_figure,blur_downscale,unsupported,rule_based,22
qwen3_vl_8b,scientific_figure,clean,supported,rule_based,39
qwen3_vl_8b,scientific_figure,clean,unsupported,rule_based,1
qwen3_vl_8b,scientific_figure,crop_removal,supported,rule_based,31
qwen3_vl_8b,scientific_figure,crop_removal,unsupported,fallback_no_llm,4
qwen3_vl_8b,scientific_figure,crop_removal,unsupported,rule_based,5
qwen3_vl_8b,scientific_figure,distractor_text,supported,rule_based,38
qwen3_vl_8b,scientific_figure,distractor_text,unsupported,fallback_no_llm,1
qwen3_vl_8b,scientific_figure,distractor_text,unsupported,rule_based,1
qwen3_vl_8b,scientific_figure,jpeg_compression,unsupported,fallback_no_llm,12
qwen3_vl_8b,scientific_figure,jpeg_compression,unsupported,rule_based,28
